Ndex,Pokémon,Type,Type.1,Egg Group 2,Egg Group 1
#0001,Bulbasaur,Grass,Poison,Grass,Monster
#0003,Venusaur,Grass,Poison,Grass,Monster
#0004,Charmander,Fire,Fire,Dragon,Monster
#0005,Charmeleon,Fire,Fire,Dragon,Monster
#0008,Wartortle,Water,Water,Water 1,Monster
#0009,Blastoise,Water,Water,Water 1,Monster
#0011,Metapod,Bug,Bug,—,Bug
#0012,Butterfree,Bug,Flying,—,Bug
#0013,Weedle,Bug,Poison,—,Bug
#0014,Kakuna,Bug,Poison,—,Bug
#0015,Beedrill,Bug,Poison,—,Bug
#0016,Pidgey,Normal,Flying,—,Flying
#0017,Pidgeotto,Normal,Flying,—,Flying
#0018,Pidgeot,Normal,Flying,—,Flying
#0019,Rattata,Normal,Normal,—,Field
#0020,Raticate,Normal,Normal,—,Field
#0021,Spearow,Normal,Flying,—,Flying
#0022,Fearow,Normal,Flying,—,Flying
#0023,Ekans,Poison,Poison,Dragon,Field
#0024,Arbok,Poison,Poison,Dragon,Field
#0025,Pikachu,Electric,Electric,Fairy,Field
#0026,Raichu,Electric,Electric,Fairy,Field
#0027,Sandshrew,Ground,Ground,—,Field
#0028,Sandslash,Ground,Ground,—,Field
#0029,Nidoran♀,Poison,Poison,Field,Monster
#0032,Nidoran♂,Poison,Poison,Field,Monster
#0034,Nidoking,Poison,Ground,Field,Monster
#0035,Clefairy,Fairy,Fairy,—,Fairy
#0036,Clefable,Fairy,Fairy,—,Fairy
#0037,Vulpix,Fire,Fire,—,Field
#0038,Ninetales,Fire,Fire,—,Field
#0039,Jigglypuff,Normal,Fairy,—,Fairy
#0040,Wigglytuff,Normal,Fairy,—,Fairy
#0041,Zubat,Poison,Flying,—,Flying
#0042,Golbat,Poison,Flying,—,Flying
#0043,Oddish,Grass,Poison,—,Grass
#0044,Gloom,Grass,Poison,—,Grass
#0045,Vileplume,Grass,Poison,—,Grass
#0046,Paras,Bug,Grass,Grass,Bug
#0047,Parasect,Bug,Grass,Grass,Bug
#0048,Venonat,Bug,Poison,—,Bug
#0049,Venomoth,Bug,Poison,—,Bug
#0050,Diglett,Ground,Ground,—,Field
#0051,Dugtrio,Ground,Ground,—,Field
#0052,Meowth,Normal,Normal,—,Field
#0053,Persian,Normal,Normal,—,Field
#0054,Psyduck,Water,Water,Field,Water 1
#0055,Golduck,Water,Water,Field,Water 1
#0056,Mankey,Fighting,Fighting,—,Field
#0057,Primeape,Fighting,Fighting,—,Field
#0058,Growlithe,Fire,Fire,—,Field
#0059,Arcanine,Fire,Fire,—,Field
#0060,Poliwag,Water,Water,—,Water 1
#0061,Poliwhirl,Water,Water,—,Water 1
#0062,Poliwrath,Water,Fighting,—,Water 1
#0063,Abra,Psychic,Psychic,—,Human-Like
#0064,Kadabra,Psychic,Psychic,—,Human-Like
#0065,Alakazam,Psychic,Psychic,—,Human-Like
#0066,Machop,Fighting,Fighting,—,Human-Like
#0067,Machoke,Fighting,Fighting,—,Human-Like
#0068,Machamp,Fighting,Fighting,—,Human-Like
#0069,Bellsprout,Grass,Poison,—,Grass
#0070,Weepinbell,Grass,Poison,—,Grass
#0071,Victreebel,Grass,Poison,—,Grass
#0072,Tentacool,Water,Poison,—,Water 3
#0073,Tentacruel,Water,Poison,—,Water 3
#0074,Geodude,Rock,Ground,—,Mineral
#0075,Graveler,Rock,Ground,—,Mineral
#0076,Golem,Rock,Ground,—,Mineral
#0077,Ponyta,Fire,Fire,—,Field
#0078,Rapidash,Fire,Fire,—,Field
#0079,Slowpoke,Water,Psychic,Water 1,Monster
#0080,Slowbro,Water,Psychic,Water 1,Monster
#0081,Magnemite,Electric,Steel,—,Mineral
#0082,Magneton,Electric,Steel,—,Mineral
#0084,Doduo,Normal,Flying,—,Flying
#0085,Dodrio,Normal,Flying,—,Flying
#0086,Seel,Water,Water,Field,Water 1
#0087,Dewgong,Water,Ice,Field,Water 1
#0088,Grimer,Poison,Poison,—,Amorphous
#0089,Muk,Poison,Poison,—,Amorphous
#0090,Shellder,Water,Water,—,Water 3
#0091,Cloyster,Water,Ice,—,Water 3
#0092,Gastly,Ghost,Poison,—,Amorphous
#0093,Haunter,Ghost,Poison,—,Amorphous
#0094,Gengar,Ghost,Poison,—,Amorphous
#0095,Onix,Rock,Ground,—,Mineral
#0096,Drowzee,Psychic,Psychic,—,Human-Like
#0097,Hypno,Psychic,Psychic,—,Human-Like
#0098,Krabby,Water,Water,—,Water 3
#0101,Electrode,Electric,Electric,—,Mineral
#0102,Exeggcute,Grass,Psychic,—,Grass
#0103,Exeggutor,Grass,Psychic,—,Grass
#0104,Cubone,Ground,Ground,—,Monster
#0105,Marowak,Ground,Ground,—,Monster
#0106,Hitmonlee,Fighting,Fighting,—,Human-Like
#0107,Hitmonchan,Fighting,Fighting,—,Human-Like
#0108,Lickitung,Normal,Normal,—,Monster
#0109,Koffing,Poison,Poison,—,Amorphous
#0110,Weezing,Poison,Poison,—,Amorphous
#0111,Rhyhorn,Ground,Rock,Field,Monster
#0112,Rhydon,Ground,Rock,Field,Monster
#0113,Chansey,Normal,Normal,—,Fairy
#0114,Tangela,Grass,Grass,—,Grass
#0115,Kangaskhan,Normal,Normal,—,Monster
#0116,Horsea,Water,Water,Dragon,Water 1
#0117,Seadra,Water,Water,Dragon,Water 1
